citing_paper_id,doi,title,year,venue,authors_raw,authors_detail
e8b471623a666bf77e303896424f29a62a31e50f,10.1145/3338533.3366584,An Adaptive Dark Region Detail Enhancement Method for Low-light Images,2019,ACM Multimedia Asia,Wengang Cheng; Caiyun Guo; Haitao Hu,"[{""id"": ""3073008"", ""name"": ""Wengang Cheng"", ""source"": ""s2""}, {""id"": ""2109795159"", ""name"": ""Caiyun Guo"", ""source"": ""s2""}, {""id"": ""47864619"", ""name"": ""Haitao Hu"", ""source"": ""s2""}]"
c41aacb6a0b5f6b501dbaf20e2cbea380c427ad9,10.1109/CVPRW50498.2020.00261,Color-wise Attention Network for Low-light Image Enhancement,2019,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),Yousef Atoum; Mao Ye; Liu Ren; Ying Tai; Xiaoming Liu,"[{""id"": ""2447931"", ""name"": ""Yousef Atoum"", ""source"": ""s2""}, {""id"": ""144560364"", ""name"": ""Mao Ye"", ""source"": ""s2""}, {""id"": ""145645852"", ""name"": ""Liu Ren"", ""source"": ""s2""}, {""id"": ""144970872"", ""name"": ""Ying Tai"", ""source"": ""s2""}, {""id"": ""2108960018"", ""name"": ""Xiaoming Liu"", ""source"": ""s2""}]"
381c650d2c5cba76c28626e6e31cb2e55d4cf452,10.1007/978-3-030-31723-2_19,An Effective Network with ConvLSTM for Low-Light Image Enhancement,2019,Chinese Conference on Pattern Recognition and Computer Vision,Yixin Xiang; Ying Fu; Lei Zhang; Hua Huang,"[{""id"": ""2147246448"", ""name"": ""Yixin Xiang"", ""source"": ""s2""}, {""id"": ""143728560"", ""name"": ""Ying Fu"", ""source"": ""s2""}, {""id"": ""2152827674"", ""name"": ""Lei Zhang"", ""source"": ""s2""}, {""id"": ""143814264"", ""name"": ""Hua Huang"", ""source"": ""s2""}]"
3d402f1ef2185695a33ca0a6cc21985f4dea4b3e,10.1145/3343031.3350994,Illumination-Invariant Person Re-Identification,2019,ACM Multimedia,Yukun Huang; Zhengjun Zha; Xueyang Fu; Wei Zhang,"[{""id"": null, ""name"": ""Yukun Huang"", ""source"": ""s2""}, {""id"": ""143962510"", ""name"": ""Zhengjun Zha"", ""source"": ""s2""}, {""id"": ""3061449"", ""name"": ""Xueyang Fu"", ""source"": ""s2""}, {""id"": null, ""name"": ""Wei Zhang"", ""source"": ""s2""}]"
a5d043c17ff9b9ae4bd11762bfef27790fada58d,10.1109/ICCV.2019.00742,Learning to See Moving Objects in the Dark,2019,IEEE International Conference on Computer Vision,Haiyang Jiang; Yinqiang Zheng,"[{""id"": ""152743682"", ""name"": ""Haiyang Jiang"", ""source"": ""s2""}, {""id"": ""2037259"", ""name"": ""Yinqiang Zheng"", ""source"": ""s2""}]"
c46503888ad5838ec044f9ca0cf8616d94e43c91,10.1109/ICCV.2019.00328,Seeing Motion in the Dark,2019,IEEE International Conference on Computer Vision,Chen Chen; Qifeng Chen; M. Do; V. Koltun,"[{""id"": null, ""name"": ""Chen Chen"", ""source"": ""s2""}, {""id"": ""143832240"", ""name"": ""Qifeng Chen"", ""source"": ""s2""}, {""id"": ""1834451"", ""name"": ""M. Do"", ""source"": ""s2""}, {""id"": ""145231047"", ""name"": ""V. Koltun"", ""source"": ""s2""}]"
68dec8d0c97827ce1a943152e6620b8e300d568e,10.1007/s11263-021-01466-8,Attention Guided Low-Light Image Enhancement with a Large Scale Low-Light Simulation Dataset,2019,International Journal of Computer Vision,Feifan Lv; Yu Li; Feng Lu,"[{""id"": ""51290122"", ""name"": ""Feifan Lv"", ""source"": ""s2""}, {""id"": ""2116609876"", ""name"": ""Yu Li"", ""source"": ""s2""}, {""id"": ""1388864077"", ""name"": ""Feng Lu"", ""source"": ""s2""}]"
3151ee4de6bf67ccba9b29565053720113ffaa85,,Attention-guided Low-light Image Enhancement,2019,arXiv.org,Feifan Lv; Feng Lu,"[{""id"": ""51290122"", ""name"": ""Feifan Lv"", ""source"": ""s2""}, {""id"": ""1388864077"", ""name"": ""Feng Lu"", ""source"": ""s2""}]"
f71f45dd3ab3133495de23a06fdd58240694b227,10.1109/ICMEW.2019.00054,Low-Light Image Enhancement with Attention and Multi-level Feature Fusion,2019,2019 IEEE International Conference on Multimedia & Expo Workshops (ICMEW),Lei Wang; Guangtao Fu; Zhuqing Jiang; Guodong Ju; Aidong Men,"[{""id"": ""2152504244"", ""name"": ""Lei Wang"", ""source"": ""s2""}, {""id"": ""152329766"", ""name"": ""Guangtao Fu"", ""source"": ""s2""}, {""id"": ""3334296"", ""name"": ""Zhuqing Jiang"", ""source"": ""s2""}, {""id"": ""151485737"", ""name"": ""Guodong Ju"", ""source"": ""s2""}, {""id"": ""1736046"", ""name"": ""Aidong Men"", ""source"": ""s2""}]"
5e4bc76fb2a00151e43aee7fd2f49ef527486634,10.1109/ICCV.2019.00747,Guided Curriculum Model Adaptation and Uncertainty-Aware Evaluation for Semantic Nighttime Image Segmentation,2019,IEEE International Conference on Computer Vision,Christos Sakaridis; Dengxin Dai; L. Gool,"[{""id"": ""7593607"", ""name"": ""Christos Sakaridis"", ""source"": ""s2""}, {""id"": ""1778526"", ""name"": ""Dengxin Dai"", ""source"": ""s2""}, {""id"": ""1681236"", ""name"": ""L. Gool"", ""source"": ""s2""}]"
