author_name,appears_in,affiliation,author_id
Rayan Al Sobbahi,W3207478457,Lebanese American University,https://openalex.org/A5084446270
Joe Tekli,W3207478457,Lebanese American University,https://openalex.org/A5088417940
SoHyun Lee,W4386076158,Pohang University of Science and Technology,https://openalex.org/A5025640600
Jaesung Rim,W4386076158,Pohang University of Science and Technology,https://openalex.org/A5064001778
Boseung Jeong,W4386076158,Pohang University of Science and Technology,https://openalex.org/A5088951609
Geonu Kim,W4386076158,Pohang University of Science and Technology,https://openalex.org/A5006907476
Byungju Woo,W4386076158,Pohang University of Science and Technology,https://openalex.org/A5030599107
Haechan Lee,W4386076158,Pohang University of Science and Technology,https://openalex.org/A5042217917
Sunghyun Cho,W4386076158,Pohang University of Science and Technology,https://openalex.org/A5101565511
Suha Kwak,W4386076158,Pohang University of Science and Technology,https://openalex.org/A5060343759
Yonglong Jiang,W4313639674,Xinjiang University,https://openalex.org/A5014081750
Liangliang Li,W4313639674,Tsinghua University,https://openalex.org/A5100739407
Jiahe Zhu,W4313639674,Tsinghua University,https://openalex.org/A5111341570
Yuan Xue,W4313639674,Xinjiang University,https://openalex.org/A5067691725
Hongbing Ma,W4313639674,Tsinghua University,https://openalex.org/A5075551339
Jing Zhang,W4285275126,Wuhan University,https://openalex.org/A5100731098
Bin Luo,W4285275126,Wuhan University,https://openalex.org/A5101650262
Fuqian Li,W4285275126,Sichuan University,https://openalex.org/A5073730268
Xingman Niu,W4285275126,Sichuan University,https://openalex.org/A5062649617
Qican Zhang,W4285275126,Sichuan University,https://openalex.org/A5074155582
Yajun Wang,W4285275126,Sichuan University,https://openalex.org/A5100454881
Xiangcheng Chen,W4285275126,Anhui University,https://openalex.org/A5076522066
Xiyuan Luo,W4413255237,Xidian University,
Sen Wang,W4413255237,Xidian University,https://openalex.org/A5044296049
Jinpeng Liu,W4413255237,Xidian University,https://openalex.org/A5100619673
Xue Dong,W4413255237,Xidian University,https://openalex.org/A5036847248
Piao He,W4413255237,Xidian University,https://openalex.org/A5043215196
Qingyu Yang,W4413255237,Xidian University,https://openalex.org/A5060684114
Xi Chen,W4413255237,Xidian University,
Feiyan Zhou,W4413255237,Xidian University,https://openalex.org/A5073170981
Tong Zhang,W4413255237,Xidian University,https://openalex.org/A5100378783
Shijie Feng,W4413255237,Nanjing University of Science and Technology,https://openalex.org/A5101952644
Pingli Han,W4413255237,Xidian University,https://openalex.org/A5091863232
