author_name,appears_in,affiliation,author_id
Guowen Xu,W4386083011;W4304091855;W4402264291;W4293812146;W4413786017;W4405741930;W7129048650,Nanyang Technological University,https://openalex.org/A5046950426
Tianwei Zhang,W4386083011;W4304091855;W4402264291;W4293812146;W4288391221;W4390871881;W4413786017;W4405741930;W3215700529,Nanyang Technological University,https://openalex.org/A5101591101
Wei Guo,W3212158867,University of Siena,https://openalex.org/A5030603717
Benedetta Tondi,W3212158867,University of Siena,https://openalex.org/A5026139768
Mauro Barni,W3212158867;W4308061333,University of Siena,https://openalex.org/A5007836692
Zhendong Zhao,W4312700692,Chinese Academy of Sciences,https://openalex.org/A5041204026
Xiaojun Chen,W4312700692,Chinese Academy of Sciences,https://openalex.org/A5100369438
Yuexin Xuan,W4312700692,Chinese Academy of Sciences,https://openalex.org/A5074107460
Ye Dong,W4312700692,Chinese Academy of Sciences,https://openalex.org/A5101239059
Dakui Wang,W4312700692,Chinese Academy of Sciences,https://openalex.org/A5102783832
Kaitai Liang,W4312700692;W4409263513,Delft University of Technology,https://openalex.org/A5001485404
Yankai Lin,W3173784240;W3207360435;W3213642548,Tencent (China),https://openalex.org/A5043098453
Peng Li,W3173784240;W3207360435,,https://openalex.org/A5108129241
Jie Zhou,W3173784240;W3207360435,Tencent (China),https://openalex.org/A5100770462
Runkai Zheng,W4313192591,"Chinese University of Hong Kong, Shenzhen",https://openalex.org/A5021347960
Rongjun Tang,W4313192591,"Chinese University of Hong Kong, Shenzhen",https://openalex.org/A5045255048
Jianze Li,W4313192591,Shenzhen Research Institute of Big Data,https://openalex.org/A5048630922
Li Liu,W4313192591,Shenzhen Research Institute of Big Data,https://openalex.org/A5100418818
Wanlun Ma,W4324007135,Swinburne University of Technology,https://openalex.org/A5011383481
Derui Wang,W4324007135,Commonwealth Scientific and Industrial Research Organisation,https://openalex.org/A5081805488
Ruoxi Sun,W4324007135,Commonwealth Scientific and Industrial Research Organisation,https://openalex.org/A5023380459
Minhui Xue,W4324007135;W4405183017,Commonwealth Scientific and Industrial Research Organisation,https://openalex.org/A5009850797
Sheng Wen,W4324007135,,https://openalex.org/A5076576641
Yang Xiang,W4324007135,Swinburne University of Technology,https://openalex.org/A5100666554
Jasmita Malik,W4400314861,"Birla Institute of Technology and Science, Pilani - Dubai Campus",https://openalex.org/A5102367641
Raja Muthalagu,W4400314861,"Birla Institute of Technology and Science, Pilani - Dubai Campus",https://openalex.org/A5070580861
Pranav M. Pawar,W4400314861,"Birla Institute of Technology and Science, Pilani - Dubai Campus",https://openalex.org/A5056110230
Xu Sun,W3207360435,Peking University,https://openalex.org/A5006497264
Weixin Chen,W4386072042,International University of the Caribbean,https://openalex.org/A5101635094
Dawn Song,W4386072042,Berkeley College,https://openalex.org/A5019426968
Bo Li,W4386072042,International University of the Caribbean,https://openalex.org/A5100758169
Kuofeng Gao,W4386076050;W3200389817,Tsinghua University,https://openalex.org/A5038862367
Yang Bai,W4386076050,Tencent (China),https://openalex.org/A5044963450
Jindong Gu,W4386076050;W4393161233;W4393079043,University of Oxford,https://openalex.org/A5055994909
Yong Yang,W4386076050,Tencent (China),https://openalex.org/A5100609598
