author_name,appears_in,affiliation,author_id
Yuan Rao,W4405097853,Guangzhou University,https://openalex.org/A5101423126
Zhili Zhou,W4405097853,Guangzhou University,https://openalex.org/A5089418255
Fei Peng,W4405097853,Guangzhou University,https://openalex.org/A5049120636
Yu Feng,W4407507713,Northwestern Polytechnical University,
Yanning Zhang,W4407507713,Northwestern Polytechnical University,https://openalex.org/A5028235866
Jianhao Ding,W4416359059,Peking University,https://openalex.org/A5030879654
Zhaofei Yu,W4416359059,Peking University,https://openalex.org/A5048087489
Tiejun Huang,W4416359059,Peking University,https://openalex.org/A5058066577
Shengshan Hu,W4304099366;W4412748153,Huazhong University of Science and Technology,https://openalex.org/A5081287468
Ziqi Zhou,W4304099366,Huazhong University of Science and Technology,https://openalex.org/A5089387872
Yechao Zhang,W4304099366,Huazhong University of Science and Technology,https://openalex.org/A5056377873
Yifeng Zheng,W4304099366,Harbin Institute of Technology,https://openalex.org/A5017426295
Yuanyuan He,W4304099366,Huazhong University of Science and Technology,https://openalex.org/A5100739224
Hai Jin,W4304099366,Huazhong University of Science and Technology,https://openalex.org/A5022262922
Mingfu Xue,W4223940398;W3156790900;W4388838066,Nanjing University of Aeronautics and Astronautics,https://openalex.org/A5022068526
Can He,W4223940398;W3156790900,Nanjing University of Aeronautics and Astronautics,https://openalex.org/A5102943054
Yinghao Wu,W4223940398,Nanjing University of Aeronautics and Astronautics,https://openalex.org/A5024861014
Shichang Sun,W4223940398;W3156790900,Nanjing University of Aeronautics and Astronautics,https://openalex.org/A5005224500
Yushu Zhang,W4223940398;W4388838066,Nanjing University of Aeronautics and Astronautics,https://openalex.org/A5085698418
Jian Wang,W4223940398;W3156790900,Nanjing University of Aeronautics and Astronautics,https://openalex.org/A5100370498
Weiqiang Liu,W4223940398;W3156790900;W4388838066,Nanjing University of Aeronautics and Astronautics,https://openalex.org/A5023734605
Jun Xia,W4285601739;W4387968618,East China Normal University,https://openalex.org/A5081669284
Ting Wang,W4285601739;W4387968618;W3217308368;W3113251160,East China Normal University,https://openalex.org/A5067164243
Jiepin Ding,W4285601739,East China Normal University,https://openalex.org/A5025619718
Xian Wei,W4285601739;W4387968618,East China Normal University,https://openalex.org/A5030210439
Mingsong Chen,W4285601739;W4416549605;W4387968618,Tongji University,https://openalex.org/A5025413633
Pengfei Xia,W4226313456;W4285602113;W4403094518;W4412625426;W3211646155,University of Science and Technology of China,https://openalex.org/A5049847547
