citing_paper_id,doi,title,year,venue,cites,authors_raw,authors_detail
c05d4f44ead1df35fff17b6e06f8eeeb668d7b5a,10.1109/ICRA55743.2025.11127546,LDM-ISP: Enhancing Neural ISP for Low Light with Latent Diffusion Models,2023,IEEE International Conference on Robotics and Automation,3,Qiang Wen;Zhefan Rao;Yazhou Xing;Qifeng Chen,"[{""author"":{""id"":""2269459289"",""display_name"":""Qiang Wen""},""institutions"":[]},{""author"":{""id"":""2261750244"",""display_name"":""Zhefan Rao""},""institutions"":[]},{""author"":{""id"":""2072727444"",""display_name"":""Yazhou Xing""},""institutions"":[]},{""author"":{""id"":""2269692452"",""display_name"":""Qifeng Chen""},""institutions"":[]}]"
0c291c421fb11b5b27e2d3526efb2353d88c27a8,,Test-Time Degradation Adaptation for Open-Set Image Restoration,2023,International Conference on Machine Learning,29,Yuanbiao Gou;Haiyu Zhao;Boyun Li;Xinyan Xiao;Xi Peng,"[{""author"":{""id"":""1781457837"",""display_name"":""Yuanbiao Gou""},""institutions"":[]},{""author"":{""id"":""2271570535"",""display_name"":""Haiyu Zhao""},""institutions"":[]},{""author"":{""id"":""150044582"",""display_name"":""Boyun Li""},""institutions"":[]},{""author"":{""id"":""2269770258"",""display_name"":""Xinyan Xiao""},""institutions"":[]},{""author"":{""id"":""2269759322"",""display_name"":""Xi Peng""},""institutions"":[]}]"
77d2914fad72f335708ae8917558ad2d8a30cf9c,10.1109/CVPR52733.2024.01204,Boosting Object Detection with Zero-Shot Day-Night Domain Adaptation,2023,Computer Vision and Pattern Recognition,76,Zhipeng Du;Miaojing Shi;Jiankang Deng,"[{""author"":{""id"":""2180661093"",""display_name"":""Zhipeng Du""},""institutions"":[]},{""author"":{""id"":""2283110033"",""display_name"":""Miaojing Shi""},""institutions"":[]},{""author"":{""id"":""2269769487"",""display_name"":""Jiankang Deng""},""institutions"":[]}]"
f5ac9f12c7a58c0c48f497ccd6789cbf2d9a59fc,10.1016/j.iot.2023.101054,LEGAN: A low-light image enhancement generative adversarial network for industrial internet of smart-cameras,2023,Internet of Things,26,Jing Tao;Junliang Wang;Peng Zhang;Jie Zhang;Kai-Leung Yung;Andrew W. H. Ip,"[{""author"":{""id"":""2218896520"",""display_name"":""Jing Tao""},""institutions"":[]},{""author"":{""id"":""46584628"",""display_name"":""Junliang Wang""},""institutions"":[]},{""author"":{""id"":""2374290319"",""display_name"":""Peng Zhang""},""institutions"":[]},{""author"":{""id"":""2262092430"",""display_name"":""Jie Zhang""},""institutions"":[]},{""author"":{""id"":""2193369847"",""display_name"":""Kai-Leung Yung""},""institutions"":[]},{""author"":{""id"":""2284517762"",""display_name"":""Andrew W. H. Ip""},""institutions"":[]}]"
44572ecd0b7dc88da5c96ca857ab809dacaed77e,10.1016/j.displa.2023.102550,"LEES-Net: Fast, lightweight unsupervised curve estimation network for low-light image enhancement and exposure suppression",2023,Displays (Guildford),21,Xuanhe Li;Rui He;Jian Wu;Hu Yan;Xianfeng Chen,"[{""author"":{""id"":""2266001395"",""display_name"":""Xuanhe Li""},""institutions"":[]},{""author"":{""id"":""2260455216"",""display_name"":""Rui He""},""institutions"":[]},{""author"":{""id"":""2260728198"",""display_name"":""Jian Wu""},""institutions"":[]},{""author"":{""id"":""2249195924"",""display_name"":""Hu Yan""},""institutions"":[]},{""author"":{""id"":""2282950088"",""display_name"":""Xianfeng Chen""},""institutions"":[]}]"
1680490c18fb88ebb45bc3e2321ccc842fb04c5f,10.1109/JSYST.2023.3262593,Efficient Contrast Adjustment and Fusion Method for Underexposed Images in Industrial Cyber-Physical Systems,2023,IEEE Systems Journal,24,Ziaur Rahman;M. Aamir;Zafar Ali;Abdul Khader Jilani Saudagar;Abdullah Altameem;K. Muhammad,"[{""author"":{""id"":""145760130"",""display_name"":""Ziaur Rahman""},""institutions"":[]},{""author"":{""id"":""2147469944"",""display_name"":""M. Aamir""},""institutions"":[]},{""author"":{""id"":""2143648228"",""display_name"":""Zafar Ali""},""institutions"":[]},{""author"":{""id"":""2788046"",""display_name"":""Abdul Khader Jilani Saudagar""},""institutions"":[]},{""author"":{""id"":""1403869508"",""display_name"":""Abdullah Altameem""},""institutions"":[]},{""author"":{""id"":""134260245"",""display_name"":""K. Muhammad""},""institutions"":[]}]"
ff8232aa426d53d90bd083c691218e46257b5ea1,10.1007/s13042-023-01983-7,Efficient low-light image enhancement with model parameters scaled down to 0.02M,2023,International Journal of Machine Learning and Cybernetics,6,Shaoliang Yang;Dongming Zhou,"[{""author"":{""id"":""2162395521"",""display_name"":""Shaoliang Yang""},""institutions"":[]},{""author"":{""id"":""2153594632"",""display_name"":""Dongming Zhou""},""institutions"":[]}]"
e1b03b050240e6a6c710eb11193f97b8c07a461c,10.1109/CAC59555.2023.10450804,Two-Stage Low-Light Image Enhancement Method Based on Generating Saturation-Corrected Reference Images,2023,ACM Cloud and Autonomic Computing Conference,0,Weilin Yi;Changhui Hu;Zhen Wang,"[{""author"":{""id"":""2222786115"",""display_name"":""Weilin Yi""},""institutions"":[]},{""author"":{""id"":""2257389126"",""display_name"":""Changhui Hu""},""institutions"":[]},{""author"":{""id"":""2144787261"",""display_name"":""Zhen Wang""},""institutions"":[]}]"
1a9d04868074845eb3a38caa5c5807d4b372a2ed,10.1109/CAC59555.2023.10451820,SPANet—Sparse Convolutional Pyramid Attention Network for Grasping Detection in Low-Light Conditions,2023,ACM Cloud and Autonomic Computing Conference,2,Kun Zhang;Qinghua Li;Kaiyue Liu;Mengyao Zhang;Xuyang Wang;Chao Feng,"[{""author"":{""id"":""2292209926"",""display_name"":""Kun Zhang""},""institutions"":[]},{""author"":{""id"":""2108492563"",""display_name"":""Qinghua Li""},""institutions"":[]},{""author"":{""id"":""2263481510"",""display_name"":""Kaiyue Liu""},""institutions"":[]},{""author"":{""id"":""2292593221"",""display_name"":""Mengyao Zhang""},""institutions"":[]},{""author"":{""id"":""2264352213"",""display_name"":""Xuyang Wang""},""institutions"":[]},{""author"":{""id"":""2117344819"",""display_name"":""Chao Feng""},""institutions"":[]}]"
ef189445cd5b1aa7b531f81a6366b854a8192d98,10.1038/s41598-023-46693-w,A depth iterative illumination estimation network for low-light image enhancement based on retinex theory,2023,Scientific Reports,23,Yongqiang Chen;Chenglin Wen;Weifeng Liu;Wei He,"[{""author"":{""id"":""2245331388"",""display_name"":""Yongqiang Chen""},""institutions"":[]},{""author"":{""id"":""2238106022"",""display_name"":""Chenglin Wen""},""institutions"":[]},{""author"":{""id"":""2258306407"",""display_name"":""Weifeng Liu""},""institutions"":[]},{""author"":{""id"":""2244412699"",""display_name"":""Wei He""},""institutions"":[]}]"
